Ensembl	Gene_Name	logConc	p.value	Fold_Change	q.value	DE	Low_read_count	D2_SNP_correction	flip_flop	Affymetrix_ProbeID	Affymetrix_Fold_Change	Affymetrix_q.value	Illumina_Probe_ID 	Illumina_Fold_Change 	Illumina_q.value	Biotype 	Chr	Gene_start	Gene_Description
ENSMUSG00000001123	Lgals9	-18.18	4.1111E-02	1.24	1.0894E-01	0	0	4	N/A	1421217_a_at	1.07	2.0701E-01	ILMN_2752873	1.01	4.08E-01	protein_coding	11	78776476	"lectin, galactose binding, soluble 9 Gene [Source:MGI (curated);Acc:MGI:109496]"
ENSMUSG00000031584	Gsr	-15.63	4.1142E-02	0.84	1.0897E-01	0	0	4	N/A	1421817_at	0.85	4.8043E-03	N/A	N/A	N/A	protein_coding	8	34762995	glutathione reductase Gene [Source:MGI (curated);Acc:MGI:95804]
ENSMUSG00000087885	SNORD113	-20.87	4.1132E-02	0.66	1.0897E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	snoRNA	12	110881958	Small nucleolar RNA SNORD113/SNORD114 family  [Source:RFAM;Acc:RF00181]
ENSMUSG00000055128	Cgrrf1	-16.22	4.1183E-02	1.19	1.0905E-01	0	0	4	N/A	1434565_at	1.19	2.0022E-02	N/A	N/A	N/A	protein_coding	14	47451809	cell growth regulator with ring finger domain 1 Gene [Source:MGI (curated);Acc:MGI:1916368]
ENSMUSG00000039183	Nubp2	-15.74	4.1302E-02	0.84	1.0934E-01	0	0	4	N/A	1416512_at	0.94	1.2176E-01	N/A	N/A	N/A	protein_coding	17	25019564	nucleotide binding protein 2 Gene [Source:MGI Symbol;Acc:MGI:1347072]
ENSMUSG00000075316	Scn9a	-18.20	4.1444E-02	0.81	1.0965E-01	0	0	4	N/A	1442809_at	1.01	5.2854E-01	N/A	N/A	N/A	protein_coding	2	66318137	"sodium channel, voltage-gated, type IX, alpha Gene [Source:MGI (curated);Acc:MGI:107636]"
ENSMUSG00000060771	Tsga10	-15.70	4.1435E-02	1.18	1.0965E-01	0	0	4	N/A	1436045_at	0.85	8.3252E-02	ILMN_2441548	0.89	1.45E-01	protein_coding	1	37811417	testis specific 10 Gene [Source:MGI (curated);Acc:MGI:2685063]
ENSMUSG00000044787	4933400C05Rik	-20.62	4.1502E-02	0.68	1.0972E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	11	103069441	RIKEN cDNA 4933400C05 gene Gene [Source:MGI Symbol;Acc:MGI:3045340]
ENSMUSG00000020631	Atad2b	-15.83	4.1482E-02	1.19	1.0972E-01	0	0	4	N/A	1428982_at	1.00	5.2629E-01	N/A	N/A	N/A	protein_coding	12	5024931	"ATPase family, AAA domain containing 2B Gene [Source:MGI Symbol;Acc:MGI:2444798]"
ENSMUSG00000042816	Gpr151	-20.62	4.1502E-02	0.68	1.0972E-01	0	1	4	N/A	N/A	N/A	N/A	ILMN_1242331	0.97	3.21E-01	protein_coding	18	42737997	G protein-coupled receptor 151 Gene [Source:MGI Symbol;Acc:MGI:2441887]
ENSMUSG00000057440	Mpp7	-18.09	4.1516E-02	1.22	1.0973E-01	0	0	4	N/A	1432216_s_at	1.18	8.5957E-02	N/A	N/A	N/A	protein_coding	18	7350735	"membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7) Gene [Source:MGI Symbol;Acc:MGI:1922989]"
ENSMUSG00000035578	Iqcg	-19.84	4.1533E-02	1.31	1.0975E-01	0	0	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	16	33015471	IQ motif containing G Gene [Source:MGI (curated);Acc:MGI:1916957]
ENSMUSG00000074217	2210011C24Rik	-21.92	4.1584E-02	1.68	1.0977E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	8	86534129	RIKEN cDNA 2210011C24 gene Gene [Source:MGI Symbol;Acc:MGI:1917384]
ENSMUSG00000026198	Abcb6	-15.52	4.1553E-02	0.84	1.0977E-01	0	0	4	N/A	1422524_at	0.94	1.1925E-01	N/A	N/A	N/A	protein_coding	1	75168291	"ATP-binding cassette, sub-family B (MDR/TAP), member 6 Gene [Source:MGI (curated);Acc:MGI:1921354]"
ENSMUSG00000007209	Ceacam9	-21.86	4.1584E-02	1.65	1.0977E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	7	17307278	carcinoembryonic antigen-related cell adhesion molecule 9 Gene [Source:MGI Symbol;Acc:MGI:1347247]
ENSMUSG00000088290	SCARNA4	-21.86	4.1584E-02	1.49	1.0977E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	snoRNA	11	116025224	Small Cajal body specific RNA 4  [Source:RFAM;Acc:RF00423]
ENSMUSG00000049932	H2afx	-15.66	4.1657E-02	0.84	1.0994E-01	0	0	4	N/A	1416746_at	0.97	3.4703E-01	ILMN_2907878	0.99	4.30E-01	protein_coding	9	44142798	"H2A histone family, member X Gene [Source:MGI Symbol;Acc:MGI:102688]"
ENSMUSG00000059824	Dbp	-13.83	4.1731E-02	0.85	1.1010E-01	0	0	4	N/A	1418174_at	0.89	2.4028E-01	ILMN_2616226	0.99	4.45E-01	protein_coding	7	52960458	D site albumin promoter binding protein Gene [Source:MGI (curated);Acc:MGI:94866]
ENSMUSG00000035606	Ky	-17.23	4.1796E-02	0.83	1.1024E-01	0	0	4	N/A	N/A	N/A	N/A	ILMN_2906855	0.75	1.26E-02	protein_coding	9	102408468	kyphoscoliosis peptidase Gene [Source:MGI Symbol;Acc:MGI:96709]
ENSMUSG00000032997	Chpf	-13.39	4.1820E-02	0.85	1.1028E-01	0	0	4	N/A	1454023_a_at	1.00	5.4022E-01	ILMN_1258341	1.21	1.34E-01	protein_coding	1	75471144	chondroitin polymerizing factor Gene [Source:MGI (curated);Acc:MGI:106576]
ENSMUSG00000007036	Bat5	-14.78	4.1860E-02	0.85	1.1031E-01	0	0	4	N/A	1415732_at	0.92	5.0507E-02	N/A	N/A	N/A	protein_coding	17	35226239	HLA-B associated transcript 5 Gene [Source:MGI Symbol;Acc:MGI:99476]
ENSMUSG00000034738	Nostrin	-18.81	4.1866E-02	1.25	1.1031E-01	0	0	4	N/A	N/A	N/A	N/A	ILMN_2821676	1.11	1.06E-01	protein_coding	2	68973857	nitric oxide synthase trafficker Gene [Source:MGI (curated);Acc:MGI:3606242]
ENSMUSG00000024812	Tjp2	-15.10	4.1851E-02	1.18	1.1031E-01	0	0	4	N/A	1450984_at	1.42	2.0034E-04	N/A	N/A	N/A	protein_coding	19	24169160	tight junction protein 2 Gene [Source:MGI Symbol;Acc:MGI:1341872]
ENSMUSG00000067786	Nnat	-18.87	4.1901E-02	0.80	1.1035E-01	0	0	4	N/A	N/A	N/A	N/A	ILMN_2755578	0.89	2.04E-01	protein_coding	2	157385846	neuronatin Gene [Source:MGI (curated);Acc:MGI:104716]
ENSMUSG00000031429	Psmd10	-16.35	4.1901E-02	1.19	1.1035E-01	0	0	4	N/A	1436559_a_at	0.99	5.0161E-01	ILMN_1239384	0.92	1.19E-01	protein_coding	X	137482968	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 10 Gene [Source:MGI (curated);Acc:MGI:1858898]"
ENSMUSG00000025732	Fam195a	-17.65	4.2000E-02	0.83	1.1056E-01	0	0	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	17	26000643	"family with sequence similarity 195, member A Gene [Source:MGI Symbol;Acc:MGI:1915491]"
ENSMUSG00000032475	Nck1	-16.55	4.1996E-02	1.19	1.1056E-01	0	0	4	N/A	1421487_a_at	1.00	5.1821E-01	ILMN_2917618	0.99	4.67E-01	protein_coding	9	100392712	non-catalytic region of tyrosine kinase adaptor protein 1 Gene [Source:MGI (curated);Acc:MGI:109601]
ENSMUSG00000033453	Adamts15	-17.56	4.2024E-02	0.83	1.1056E-01	0	0	4	N/A	1427056_at	0.93	2.8326E-01	N/A	N/A	N/A	protein_coding	9	30706740	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 15 Gene [Source:MGI Symbol;Acc:MGI:2449569]"
ENSMUSG00000025199	Chuk	-14.78	4.2017E-02	1.18	1.1056E-01	0	0	4	N/A	1451383_a_at	1.07	1.2666E-01	ILMN_2656282	0.96	2.95E-01	protein_coding	19	44147825	conserved helix-loop-helix ubiquitous kinase Gene [Source:MGI (curated);Acc:MGI:99484]
ENSMUSG00000030880	Polr3e	-15.33	4.2064E-02	1.19	1.1064E-01	0	0	4	N/A	1429456_a_at	1.08	1.5913E-01	ILMN_2660781	1.12	1.98E-01	protein_coding	7	128061331	polymerase (RNA) III (DNA directed) polypeptide E Gene [Source:MGI Symbol;Acc:MGI:1349452]
ENSMUSG00000056608	Chd9	-13.17	4.2114E-02	0.85	1.1074E-01	0	0	4	N/A	1457672_at	0.79	2.2472E-05	N/A	N/A	N/A	protein_coding	8	93352736	chromodomain helicase DNA binding protein 9 Gene [Source:MGI Symbol;Acc:MGI:1924001]
ENSMUSG00000019837	Gtf3c6	-17.03	4.2181E-02	1.20	1.1089E-01	0	0	4	N/A	1420626_at	0.93	1.1041E-01	ILMN_1257110	1.02	3.97E-01	protein_coding	10	39969334	"general transcription factor IIIC, polypeptide 6, alpha Gene [Source:MGI Symbol;Acc:MGI:1914621]"
ENSMUSG00000030588	Yif1b	-16.39	4.2202E-02	0.84	1.1092E-01	0	0	4	N/A	1428445_at	0.95	2.2246E-01	ILMN_2607609	0.95	1.92E-01	protein_coding	7	30023348	Yip1 interacting factor homolog B (S. cerevisiae) Gene [Source:MGI (curated);Acc:MGI:1924504]
ENSMUSG00000027896	Slc16a4	-18.26	4.2232E-02	1.22	1.1097E-01	0	0	4	N/A	1426082_a_at	1.06	3.4661E-01	N/A	N/A	N/A	protein_coding	3	107094148	"solute carrier family 16 (monocarboxylic acid transporters), member 4 Gene [Source:MGI (curated);Acc:MGI:2385183]"
ENSMUSG00000056364	Six3os1	-17.40	4.2361E-02	0.83	1.1126E-01	0	0	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	processed_transcript	17	85999991	Six3 opposite strand transcript 1 Gene [Source:MGI (curated);Acc:MGI:1925118]
ENSMUSG00000034452	Slc24a1	-22.07	4.2365E-02	1.65	1.1126E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	9	64770668	"solute carrier family 24 (sodium/potassium/calcium exchanger), member 1 Gene [Source:MGI Symbol;Acc:MGI:2384871]"
ENSMUSG00000033805	Abhd7	-14.89	4.2385E-02	0.84	1.1127E-01	0	0	4	N/A	1434526_at	0.91	2.9854E-01	ILMN_2833415	0.82	1.08E-02	protein_coding	5	107831755	epoxide hydrolase 4 Gene [Source:MGI (curated);Acc:MGI:2686228]
ENSMUSG00000030500	Slc17a6	-15.79	4.2390E-02	0.84	1.1127E-01	0	0	4	N/A	1428379_at	0.65	2.0701E-01	N/A	N/A	N/A	protein_coding	7	58877437	"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6 Gene [Source:MGI Symbol;Acc:MGI:2156052]"
ENSMUSG00000025401	Myo1a	-19.55	4.2401E-02	1.30	1.1127E-01	0	0	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	10	127142312	myosin IA Gene [Source:MGI Symbol;Acc:MGI:107732]
ENSMUSG00000071073	Gm88	-15.62	4.2418E-02	0.84	1.1128E-01	0	0	4	N/A	1455755_at	1.03	4.1273E-01	N/A	N/A	N/A	protein_coding	17	46391294	predicted gene 88 Gene [Source:MGI Symbol;Acc:MGI:2684934]
ENSMUSG00000048029	Eno4	-18.50	4.2476E-02	1.25	1.1141E-01	0	0	4	N/A	1457693_a_at	1.24	1.3016E-01	ILMN_3007065	1.03	3.31E-01	protein_coding	19	59017916	enolase 4 Gene [Source:MGI Symbol;Acc:MGI:2441717]
ENSMUSG00000081369	RP23-273K21.1	-20.31	4.2603E-02	1.29	1.1171E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	pseudogene	4	25465997	N/A
ENSMUSG00000085998	RP23-451C8.1	-20.82	4.2738E-02	0.72	1.1204E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	processed_transcript	X	51009205	N/A
ENSMUSG00000002416	Ndufb2	-16.18	4.2826E-02	1.19	1.1224E-01	0	0	4	N/A	1453806_at	1.01	5.0378E-01	N/A	N/A	N/A	protein_coding	6	39542573	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2 Gene [Source:MGI (curated);Acc:MGI:1915448]"
ENSMUSG00000024256	Adcyap1	-17.43	4.2855E-02	0.83	1.1229E-01	0	0	4	N/A	1441778_at	1.00	5.4557E-01	ILMN_1227605	0.81	1.22E-01	protein_coding	17	93598762	adenylate cyclase activating polypeptide 1 Gene [Source:MGI Symbol;Acc:MGI:105094]
ENSMUSG00000021792	5730469M10Rik	-14.36	4.2930E-02	1.18	1.1245E-01	0	0	4	N/A	1452716_at	1.02	4.5188E-01	ILMN_2796798	1.35	1.88E-02	protein_coding	14	41807029	RIKEN cDNA 5730469M10 gene Gene [Source:MGI Symbol;Acc:MGI:1917814]
ENSMUSG00000036402	Gng12	-14.20	4.2949E-02	1.18	1.1245E-01	0	0	4	N/A	1455089_at	1.01	5.0792E-01	N/A	N/A	N/A	protein_coding	6	66846391	"guanine nucleotide binding protein (G protein), gamma 12 Gene [Source:MGI (curated);Acc:MGI:1336171]"
ENSMUSG00000026442	Nfasc	-12.48	4.2944E-02	1.18	1.1245E-01	0	0	4	N/A	N/A	N/A	N/A	ILMN_2648812	0.96	2.01E-01	protein_coding	1	134466568	neurofascin Gene [Source:MGI Symbol;Acc:MGI:104753]
ENSMUSG00000046010	Zfp830	-17.04	4.2964E-02	1.20	1.1246E-01	0	0	4	N/A	1423338_at	1.03	3.1000E-01	N/A	N/A	N/A	protein_coding	11	82577857	zinc finger protein 830 Gene [Source:MGI (curated);Acc:MGI:1914233]
ENSMUSG00000000305	Cdh4	-14.82	4.3032E-02	0.85	1.1258E-01	0	0	4	N/A	1456397_at	1.10	1.6763E-01	ILMN_1255939	0.92	1.13E-01	protein_coding	2	179177136	cadherin 4 Gene [Source:MGI (curated);Acc:MGI:99218]
ENSMUSG00000039419	Cntnap2	-12.92	4.3033E-02	1.18	1.1258E-01	0	0	4	N/A	1422798_at	1.10	2.5408E-02	ILMN_2681321	1.06	3.08E-01	protein_coding	6	45010060	contactin associated protein-like 2 Gene [Source:MGI (curated);Acc:MGI:1914047]
ENSMUSG00000025077	Dclre1a	-16.96	4.3047E-02	0.83	1.1259E-01	0	0	4	N/A	1432097_a_at	0.98	3.6168E-01	N/A	N/A	N/A	protein_coding	19	56603649	"DNA cross-link repair 1A, PSO2 homolog (S. cerevisiae) Gene [Source:MGI Symbol;Acc:MGI:1930042]"
ENSMUSG00000000148	AA881470	-15.98	4.3093E-02	0.84	1.1268E-01	0	0	4	N/A	1452390_at	1.05	2.6737E-01	ILMN_2605630	1.01	4.20E-01	protein_coding	5	141180965	"EST AA881470 (AA881470), transcript variant 1, mRNA [Source:RefSeq DNA;Acc:NM_172724]"
ENSMUSG00000039349	C130074G19Rik	-14.51	4.3137E-02	0.85	1.1274E-01	0	0	4	N/A	N/A	N/A	N/A	ILMN_1219466	0.76	5.52E-02	protein_coding	1	186695805	RIKEN cDNA C130074G19 gene Gene [Source:MGI Symbol;Acc:MGI:2444831]
ENSMUSG00000083043	RP23-464C2.2	-18.18	4.3139E-02	1.21	1.1274E-01	0	0	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	pseudogene	2	25398999	N/A
ENSMUSG00000074066	Gm10618	-22.26	4.3187E-02	1.82	1.1284E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	7	81700528	predicted gene 10618 Gene [Source:MGI Symbol;Acc:MGI:3642374]
ENSMUSG00000026727	Rsu1	-16.45	4.3242E-02	1.19	1.1296E-01	0	0	4	N/A	1419259_at	1.03	3.5591E-01	ILMN_1254341	1.06	3.09E-01	protein_coding	2	12998594	Ras suppressor protein 1 Gene [Source:MGI (curated);Acc:MGI:103040]
ENSMUSG00000049960	Mrps16	-18.22	4.3301E-02	0.81	1.1308E-01	0	0	4	N/A	N/A	N/A	N/A	ILMN_2619671	0.87	1.06E-01	protein_coding	14	21210453	mitochondrial ribosomal protein S16 Gene [Source:MGI Symbol;Acc:MGI:1913492]
ENSMUSG00000029657	Hsph1	-11.20	4.3319E-02	1.18	1.1310E-01	0	0	4	N/A	1423566_a_at	1.01	5.2045E-01	ILMN_2716098	1.19	1.24E-01	protein_coding	5	150416862	heat shock 105kDa/110kDa protein 1 Gene [Source:MGI (curated);Acc:MGI:105053]
ENSMUSG00000000530	Acvrl1	-14.91	4.3351E-02	1.18	1.1315E-01	0	0	4	N/A	1435825_at	1.26	2.4949E-03	ILMN_1248328	1.07	2.09E-01	protein_coding	15	100958953	"activin A receptor, type II-like 1 Gene [Source:MGI (curated);Acc:MGI:1338946]"
ENSMUSG00000033386	Frrs1	-20.17	4.3385E-02	0.73	1.1318E-01	0	1	4	N/A	1423465_at	0.74	7.8042E-04	N/A	N/A	N/A	protein_coding	3	116581145	ferric-chelate reductase 1 Gene [Source:MGI Symbol;Acc:MGI:108076]
ENSMUSG00000021306	Gpr137b	-20.17	4.3385E-02	0.75	1.1318E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	13	13450883	G protein-coupled receptor 137B Gene [Source:MGI Symbol;Acc:MGI:1891463]
ENSMUSG00000037270	4932438A13Rik	-12.14	4.3401E-02	0.85	1.1320E-01	0	0	4	N/A	1444660_at	0.71	9.9245E-06	N/A	N/A	N/A	protein_coding	3	36762043	RIKEN cDNA 4932438A13 gene Gene [Source:MGI Symbol;Acc:MGI:2444631]
ENSMUSG00000039842	Mcph1	-16.52	4.3451E-02	0.84	1.1330E-01	0	0	4	N/A	1439115_at	0.79	4.1933E-04	ILMN_2830445	0.79	9.66E-04	protein_coding	8	18595131	"microcephaly, primary autosomal recessive 1 Gene [Source:MGI (curated);Acc:MGI:2443308]"
ENSMUSG00000081002	RP23-220D12.4	-20.03	4.3495E-02	1.27	1.1339E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	pseudogene	2	155881864	N/A
ENSMUSG00000031337	Mtm1	-17.43	4.3545E-02	1.20	1.1349E-01	0	0	4	N/A	1416934_at	1.02	4.6903E-01	N/A	N/A	N/A	protein_coding	X	68468181	X-linked myotubular myopathy gene 1 Gene [Source:MGI (curated);Acc:MGI:1099452]
ENSMUSG00000080836	AC158114.4	-16.31	4.3561E-02	1.19	1.1350E-01	0	0	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	pseudogene	5	123516251	N/A
ENSMUSG00000085263	RP23-168M5.7	-22.23	4.3575E-02	1.76	1.1351E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	processed_transcript	4	124568132	N/A
ENSMUSG00000087134	AC149085.1	-22.04	4.3671E-02	0.60	1.1358E-01	0	1	4	N/A	1441120_at	0.96	2.1505E-01	N/A	N/A	N/A	lincRNA	7	20437352	N/A
ENSMUSG00000043346	AC151288.1	-21.93	4.3671E-02	1.60	1.1358E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	17	91636122	N-acylneuraminate-9-phosphatase (EC 3.1.3.29)(Neu5Ac-9-Pase)(Haloacid dehalogenase-like hydrolase domain-containing protein 4) [Source:UniProtKB/Swiss-Prot;Acc:Q9CPT3]
ENSMUSG00000028713	Cyp4b1	-22.05	4.3671E-02	0.57	1.1358E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	4	115297303	"cytochrome P450, family 4, subfamily b, polypeptide 1 Gene [Source:MGI (curated);Acc:MGI:103225]"
ENSMUSG00000015377	Fam116b	-14.96	4.3671E-02	0.85	1.1358E-01	0	0	4	N/A	1452706_a_at	0.91	4.8508E-02	ILMN_2671266	0.79	9.66E-03	protein_coding	15	89015249	"family with sequence similarity 116, member B Gene [Source:MGI Symbol;Acc:MGI:1916690]"
ENSMUSG00000027356	Fermt1	-22.06	4.3671E-02	0.62	1.1358E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	2	132730125	fermitin family homolog 1 (Drosophila) Gene [Source:MGI (curated);Acc:MGI:2443583]
ENSMUSG00000041644	Slc5a12	-22.03	4.3671E-02	0.64	1.1358E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	2	110437455	"solute carrier family 5 (sodium/glucose cotransporter), member 12 Gene [Source:MGI (curated);Acc:MGI:2138890]"
ENSMUSG00000038932	Tcfl5	-20.45	4.3722E-02	0.73	1.1369E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	2	180356661	transcription factor-like 5 (basic helix-loop-helix) Gene [Source:MGI (curated);Acc:MGI:2672878]
ENSMUSG00000055069	Rab39	-19.42	4.3776E-02	1.28	1.1378E-01	0	0	4	N/A	1437762_at	1.01	4.9159E-01	ILMN_1226696	0.92	1.74E-01	protein_coding	9	53492215	"RAB39, member RAS oncogene family Gene [Source:MGI (curated);Acc:MGI:2442855]"
ENSMUSG00000085282	RP24-69E21.1	-17.92	4.3781E-02	0.82	1.1378E-01	0	0	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	processed_transcript	10	105011009	N/A
ENSMUSG00000032532	Cck	-13.14	4.3820E-02	0.85	1.1383E-01	0	0	4	N/A	1419473_a_at	0.94	4.5619E-01	ILMN_1252990	1.01	4.84E-01	protein_coding	9	121398943	cholecystokinin Gene [Source:MGI Symbol;Acc:MGI:88297]
ENSMUSG00000022322	Shcbp1	-20.54	4.3815E-02	1.37	1.1383E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	8	4735978	Shc SH2-domain binding protein 1 Gene [Source:MGI Symbol;Acc:MGI:1338802]
ENSMUSG00000026313	Hdac4	-14.86	4.3914E-02	0.85	1.1404E-01	0	0	4	N/A	1436758_at	1.01	5.2062E-01	ILMN_1219682	1.61	1.52E-06	protein_coding	1	93829334	histone deacetylase 4 Gene [Source:MGI Symbol;Acc:MGI:3036234]
ENSMUSG00000039316	Rftn1	-16.49	4.3938E-02	0.84	1.1407E-01	0	0	4	N/A	1428696_at	0.88	7.8166E-02	ILMN_1240868	0.84	1.53E-03	protein_coding	17	50131582	raftlin lipid raft linker 1 Gene [Source:MGI (curated);Acc:MGI:1923688]
ENSMUSG00000082534	RP23-89M14.1	-18.73	4.3948E-02	1.23	1.1407E-01	0	0	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	pseudogene	2	84996258	N/A
ENSMUSG00000035274	Tpbg	-15.23	4.3994E-02	0.84	1.1416E-01	0	0	4	N/A	1423310_at	0.64	2.3123E-02	ILMN_1250696	0.79	5.12E-03	protein_coding	9	85736017	trophoblast glycoprotein Gene [Source:MGI Symbol;Acc:MGI:1341264]
ENSMUSG00000063455	D630045J12Rik	-14.37	4.4026E-02	0.85	1.1422E-01	0	0	4	N/A	1440116_at	0.92	1.2504E-01	N/A	N/A	N/A	protein_coding	6	38073174	RIKEN cDNA D630045J12 gene Gene [Source:MGI Symbol;Acc:MGI:2669829]
ENSMUSG00000027890	Gstm4	-17.94	4.4092E-02	0.82	1.1431E-01	0	0	4	N/A	1424835_at	0.94	2.1680E-01	ILMN_1214964	1.05	3.00E-01	protein_coding	3	107843326	"glutathione S-transferase, mu 4 Gene [Source:MGI (curated);Acc:MGI:95862]"
ENSMUSG00000026447	Pik3c2b	-14.19	4.4096E-02	1.18	1.1431E-01	0	0	4	N/A	N/A	N/A	N/A	ILMN_2816660	0.77	3.42E-04	protein_coding	1	134942244	"phosphoinositide-3-kinase, class 2, beta polypeptide Gene [Source:MGI (curated);Acc:MGI:2685045]"
ENSMUSG00000085609	RP23-143A14.3	-17.68	4.4105E-02	1.20	1.1431E-01	0	0	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	processed_transcript	11	74986062	N/A
ENSMUSG00000055494	RP23-55C8.3	-18.97	4.4101E-02	0.81	1.1431E-01	0	0	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	processed_transcript	2	156397528	N/A
ENSMUSG00000025240	Sacm1l	-13.96	4.4152E-02	1.18	1.1440E-01	0	0	4	N/A	1416500_at	0.91	7.4802E-02	ILMN_2929952	1.02	3.54E-01	protein_coding	9	123438900	"SAC1 (suppressor of actin mutations 1, homolog)-like (S. cerevisiae) Gene [Source:MGI Symbol;Acc:MGI:1933169]"
ENSMUSG00000029616	Erp29	-17.47	4.4180E-02	0.83	1.1444E-01	0	0	4	N/A	1453634_a_at	0.90	5.8814E-02	ILMN_1239185	0.88	2.50E-02	protein_coding	5	121878599	endoplasmic reticulum protein 29 Gene [Source:MGI (curated);Acc:MGI:1914647]
ENSMUSG00000025930	Msc	-20.59	4.4219E-02	0.69	1.1451E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	1	14743427	musculin Gene [Source:MGI Symbol;Acc:MGI:1333884]
ENSMUSG00000024507	Hsd17b4	-14.53	4.4255E-02	1.18	1.1458E-01	0	0	4	N/A	1417369_at	1.01	4.7956E-01	ILMN_2912239	0.95	2.93E-01	protein_coding	18	50287855	hydroxysteroid (17-beta) dehydrogenase 4 Gene [Source:MGI (curated);Acc:MGI:105089]
ENSMUSG00000021149	Gtpbp4	-15.43	4.4372E-02	1.18	1.1482E-01	0	0	4	N/A	1450873_at	0.94	9.1090E-02	ILMN_1216072	0.98	3.70E-01	protein_coding	13	8971317	GTP binding protein 4 Gene [Source:MGI Symbol;Acc:MGI:1916487]
ENSMUSG00000087536	RP23-474J7.3	-21.24	4.4369E-02	0.68	1.1482E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	processed_transcript	2	162505191	N/A
ENSMUSG00000075425	Gm13547	-20.69	4.4474E-02	1.35	1.1506E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	2	29617048	predicted gene 13547 Gene [Source:MGI Symbol;Acc:MGI:3650473]
ENSMUSG00000019301	Hsd17b1	-21.87	4.4508E-02	1.60	1.1512E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	11	100939725	hydroxysteroid (17-beta) dehydrogenase 1 Gene [Source:MGI (curated);Acc:MGI:105077]
ENSMUSG00000024339	Tap2	-18.19	4.4518E-02	1.23	1.1512E-01	0	0	4	N/A	N/A	N/A	N/A	ILMN_2686721	1.22	1.79E-02	protein_coding	17	34341025	"transporter 2, ATP-binding cassette, sub-family B (MDR/TAP) Gene [Source:MGI (curated);Acc:MGI:98484]"
ENSMUSG00000019768	Esr1	-18.49	4.4535E-02	0.81	1.1513E-01	0	0	4	N/A	1460591_at	0.97	4.6606E-01	ILMN_2726412	0.97	3.31E-01	protein_coding	10	5340927	estrogen receptor 1 (alpha) Gene [Source:MGI (curated);Acc:MGI:1352467]
ENSMUSG00000001525	Tubb5	-11.45	4.4576E-02	0.85	1.1521E-01	0	0	4	N/A	1455719_at	0.60	9.7179E-06	ILMN_1227164	0.96	2.48E-01	protein_coding	17	35970871	"tubulin, beta 5 Gene [Source:MGI (curated);Acc:MGI:107812]"
ENSMUSG00000078720	AC142228.2	-21.01	4.4593E-02	1.38	1.1522E-01	0	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	3	58592348	Putative uncharacterized protein Fam188b2  [Source:UniProtKB/TrEMBL;Acc:D3YZU9]
